Movie Name,Address,Rating,Date,Closed Captioning,Zip,Park Name
Fireproof ,"{""latitude"": ""41.70822525"", ""longitude"": ""-87.68319702"", ""human_address"": ""{\""address\"": \""2460 W 102nd St Chicago, IL 60655\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60655\""}""}",PG,2014-07-16,Y,60655,Beverly Park
The Goonies,"{""latitude"": ""41.9219017"", ""longitude"": ""-87.68556213"", ""human_address"": ""{\""address\"": \""2200 N. Oakley Ave. Chicago IL 60647\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60647\""}""}",PG,2014-08-28,Y,60647,Holstein Park
Despicable Me 2,"{""latitude"": ""41.85511398"", ""longitude"": ""-87.65414429"", ""human_address"": ""{\""address\"": \""1119 W. Cullerton St. Chicago IL 60608\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60608\""}""}",PG,2014-06-20,Y,60608,Dvorak Park
Cloudy With a Chance of Meatballs 2,"{""latitude"": ""42.01991653"", ""longitude"": ""-87.67008972"", ""human_address"": ""{\""address\"": \""1610 W. Howard Chicago IL 60626\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60626\""}""}",PG,2014-08-27,Y,60626,White (Willye B.) Park
Despicable Me 2,"{""latitude"": ""41.90510559"", ""longitude"": ""-87.64409637"", ""human_address"": ""{\""address\"": \""618 W Scott St Chicago, IL 60610\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60610\""}""}",PG,2014-08-15,Y,60610,Stanton Park
@home,"{""latitude"": ""41.88805771"", ""longitude"": ""-87.76578522"", ""human_address"": ""{\""address\"": \""5610 W Lake St Chicago, IL 60644\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60644\""}""}",NR,2014-05-29,N,60644,Austin Town Hall Park
Despicable Me 2,"{""latitude"": ""41.92812347"", ""longitude"": ""-87.75872803"", ""human_address"": ""{\""address\"": \""2611 N. Lockwood Ave. Chicago IL 60639\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60639\""}""}",PG,2014-08-01,Y,60639,Cragin Park
The Nut Job,"{""latitude"": ""41.77602768"", ""longitude"": ""-87.75245667"", ""human_address"": ""{\""address\"": \""5210 W. 64th St. Chicago IL 60638\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60638\""}""}",PG,2014-08-12,Y,60638,Lawler Park
The Hunger Games: Catching Fire,"{""latitude"": ""41.91244507"", ""longitude"": ""-87.76873779"", ""human_address"": ""{\""address\"": \""5729 W. Bloomingdale Ave. Chicago IL 60639\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60639\""}""}",PG-13,2014-07-25,Y,60639,Galewood Park
Patang,"{""latitude"": ""41.9539299"", ""longitude"": ""-87.69141388"", ""human_address"": ""{\""address\"": \""2509 W. Irving Park Rd. Chicago IL 60618\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60618\""}""}",NR,2014-06-22,N,60618,Revere Park
@home,"{""latitude"": ""41.8367424"", ""longitude"": ""-87.730896"", ""human_address"": ""{\""address\"": \""4247 W. 31st St. Chicago IL 60623\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60623\""}""}",NR,2014-06-04,N,60623,Piotrowski Park
High Anxiety,"{""latitude"": ""41.88437653"", ""longitude"": ""-87.61938477"", ""human_address"": ""{\""address\"": \""337 E. Randolph St. Chicago, IL 60602\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60602\""}""}",PG,2014-06-23,N,60602,Grant Park
Cloudy with a Chance of Meatballs 2,"{""latitude"": ""41.77493286"", ""longitude"": ""-87.72831726"", ""human_address"": ""{\""address\"": \""4233 W. 65th St. Chicago IL 60629\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60629\""}""}",PG,2014-06-26,Y,60629,West Lawn Park
The Wizard of Oz,"{""latitude"": ""41.92099187"", ""longitude"": ""-87.64469862"", ""human_address"": ""{\""address\"": \""2021 N. Burling St. Chicago IL 60614\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60614\""}""}",PG,2014-08-23,Y,60614,Oz Park
A League of Their Own,"{""latitude"": ""41.99946594"", ""longitude"": ""-87.76202393"", ""human_address"": ""{\""address\"": \""6525 N. Hiawatha Ave. Chicago IL 60646\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60646\""}""}",PG,2014-06-07,,60646,Edgebrook Park
Willy Wonka & the Chocolate Factory,"{""latitude"": ""41.83438492"", ""longitude"": ""-87.63520813"", ""human_address"": ""{\""address\"": \""3309 S Shields Ave Chicago, IL 60616\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60616\""}""}",G,2014-06-28,Y,60616,Armour Square Park
The Wizard of Oz,"{""latitude"": ""41.96125412"", ""longitude"": ""-87.69841003"", ""human_address"": ""{\""address\"": \""2741 W. Montrose Ave. Chicago IL 60618\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60618\""}""}",PG,2014-08-30,Y,60618,Horner Park
Ghostbusters,"{""latitude"": ""41.92899323"", ""longitude"": ""-87.65377045"", ""human_address"": ""{\""address\"": \""1001 W. Wrightwood Ave. Chicago IL 60614\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60614\""}""}",PG,2014-07-20,Y,60614,Jonquil Playlot Park
The Muppet Movie,"{""latitude"": ""41.82370758"", ""longitude"": ""-87.60727692"", ""human_address"": ""{\""address\"": \""900 E. Pershing Rd. Chicago IL 60653\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60653\""}""}",G,2014-08-28,Y,60653,Mandrake Park
The Lego Movie,"{""latitude"": ""41.89364243"", ""longitude"": ""-87.64193726"", ""human_address"": ""{\""address\"": \""630 N. Kingsbury St. Chicago IL 60606\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60606\""}""}",PG,2014-08-26,Y,60606,"Ward, A. Montgomery Park"
Gravity,"{""latitude"": ""41.74268341"", ""longitude"": ""-87.66927338"", ""human_address"": ""{\""address\"": \""8335 S. Honore St. Chicago IL 60620\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60620\""}""}",PG-13,2014-07-10,N,60620,O'Hallaren Park
The Perfect Game,"{""latitude"": ""41.94668198"", ""longitude"": ""-87.71703339"", ""human_address"": ""{\""address\"": \""3546 W Addison St Chicago, IL 60618\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60618\""}""}",PG,2014-07-25,,60618,Athletic Field Park
Monster University,"{""latitude"": ""41.96814728"", ""longitude"": ""-87.76294708"", ""human_address"": ""{\""address\"": \""4822 N. Long Ave. Chicago IL 60630\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60630\""}""}",PG,2014-06-12,,60630,Jefferson Memorial Park
Newsies,"{""latitude"": ""41.94668198"", ""longitude"": ""-87.71703339"", ""human_address"": ""{\""address\"": \""3546 W Addison St Chicago, IL 60618\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60618\""}""}",PG,2014-06-27,,60618,Athletic Field Park
The Goonies,"{""latitude"": ""41.92774582"", ""longitude"": ""-87.66582489"", ""human_address"": ""{\""address\"": \""2534 N Greenview Ave Chicago, IL 60614\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60614\""}""}",PG,2014-08-08,Y,60614,Wrightwood Park
42,"{""latitude"": ""41.68910599"", ""longitude"": ""-87.65565491"", ""human_address"": ""{\""address\"": \""11250 S Ada St Chicago, IL 60643\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60643\""}""}",PG-13,2014-08-02,Y,60643,Ada Park
Monster University,"{""latitude"": ""41.95508957"", ""longitude"": ""-87.76216125"", ""human_address"": ""{\""address\"": \""4100 N Long Ave Chicago, IL 60641\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60641\""}""}",G,2014-06-25,,60641,Portage Park
Patang,"{""latitude"": ""41.78723526"", ""longitude"": ""-87.59635162"", ""human_address"": ""{\""address\"": \""1130 Midway Plaisance North Chicago IL 60637\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60637\""}""}",NR,2014-06-15,N,60637,Midway Plaisance Park
The Hunger Games: Catching Fire,"{""latitude"": ""41.86061478"", ""longitude"": ""-87.73335266"", ""human_address"": ""{\""address\"": \""4320 W. 15th St. Chicago IL 60623\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60623\""}""}",PG-13,2014-08-08,Y,60623,Franklin Park
The Help,"{""latitude"": ""41.76344299"", ""longitude"": ""-87.63769531"", ""human_address"": ""{\""address\"": \""513 W. 72nd St. Chicago IL 60621\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60621\""}""}",PG-13,2014-08-24,Y,60621,Hamilton Park
The Nut Job,"{""latitude"": ""41.79950333"", ""longitude"": ""-87.59230804"", ""human_address"": ""{\""address\"": \""1355 E. 53rd St. Chicago IL 60615\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60615\""}""}",PG,2014-08-20,Y,60615,Nichols Park
The Nut Job,"{""latitude"": ""41.98839951"", ""longitude"": ""-87.73739624"", ""human_address"": ""{\""address\"": \""5861 N. Kostner Ave. Chicago IL 60646\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60646\""}""}",PG,2014-08-02,Y,60646,Sauganash Park
Chicago ,"{""latitude"": ""41.89364243"", ""longitude"": ""-87.64193726"", ""human_address"": ""{\""address\"": \""630 N. Kingsbury St. Chicago IL 60606\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60606\""}""}",PG-13,2014-07-15,Y,60606,"Ward, A. Montgomery Park"
Annie,"{""latitude"": ""42.01446533"", ""longitude"": ""-87.6785965"", ""human_address"": ""{\""address\"": \""7340 N. Rogers Ave. Chicago IL 60626\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60626\""}""}",NR,2014-07-23,,60626,Pottawattomie Park
ET,"{""latitude"": ""41.95508957"", ""longitude"": ""-87.76216125"", ""human_address"": ""{\""address\"": \""4100 N Long Ave Chicago, IL 60641\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60641\""}""}",PG,2014-07-30,,60641,Portage Park
Lee Daniels' The Butler,"{""latitude"": ""41.74732971"", ""longitude"": ""-87.67307281"", ""human_address"": ""{\""address\"": \""8052 S. Damen Ave. Chicago IL 60620\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60620\""}""}",PG-13,2014-08-01,Y,60620,Dawes Park
Mr. Peabody & Sherman,"{""latitude"": ""41.92899323"", ""longitude"": ""-87.65377045"", ""human_address"": ""{\""address\"": \""1001 W. Wrightwood Ave. Chicago IL 60614\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60614\""}""}",PG,2014-08-02,Y,60614,Jonquil Playlot Park
The Smurfs 2,"{""latitude"": ""41.88011364"", ""longitude"": ""-87.66196489"", ""human_address"": ""{\""address\"": \""1331 W Monroe St Chicago IL 60607\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60607\""}""}",PG,2014-07-16,Y,60607,Skinner Park
Back to the Future,"{""latitude"": ""41.87156296"", ""longitude"": ""-87.66168976"", ""human_address"": ""{\""address\"": \""801 S Loomis St Chicago, IL 60607\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60607\""}""}",PG,2014-08-21,Y,60607,Arrigo Park
Latino Film Festival Selection,"{""latitude"": ""41.71755765"", ""longitude"": ""-87.53148079"", ""human_address"": ""{\""address\"": \""9801 S Avenue G Chicago, IL 60617\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60617\""}""}",NR,2014-07-16,N,60617,Calumet Park
"It's a Mad, Mad, Mad, Mad World","{""latitude"": ""41.79384995"", ""longitude"": ""-87.68441772"", ""human_address"": ""{\""address\"": \""2411 W. 55th St. Chicago IL 60629\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60629\""}""}",G,2014-06-09,N,60629,Gage Park
Turbo,"{""latitude"": ""41.74944687"", ""longitude"": ""-87.73049927"", ""human_address"": ""{\""address\"": \""4350 W. 79th St. Chicago IL 60652\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60652\""}""}",PG,2014-07-24,Y,60652,Rainey Park
Big Fish,"{""latitude"": ""41.83804321"", ""longitude"": ""-87.61347198"", ""human_address"": ""{\""address\"": \""3117 S. Rhodes Ave. Chicago IL 60616\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60616\""}""}",PG-13,2014-08-04,Y,60616,Lake Meadows Park
Life of Pi,"{""latitude"": ""41.77088165"", ""longitude"": ""-87.70292664"", ""human_address"": ""{\""address\"": \""6743 S. Kedzie Ave. Chicago IL 60629\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60629\""}""}",PG,2014-07-27,Y,60629,Marquette Park
The Wizard of Oz,"{""latitude"": ""41.8367424"", ""longitude"": ""-87.730896"", ""human_address"": ""{\""address\"": \""4247 W. 31st St. Chicago IL 60623\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60623\""}""}",PG,2014-08-17,Y,60623,Piotrowski Park
Free Birds,"{""latitude"": ""42.00686264"", ""longitude"": ""-87.7776947"", ""human_address"": ""{\""address\"": \""6950 N. Hiawatha Ave. Chicago IL 60646\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60646\""}""}",PG,2014-07-10,Y,60646,Wildwood Park
Star Trek: Into Darkness,"{""latitude"": ""41.99436951"", ""longitude"": ""-87.67577362"", ""human_address"": ""{\""address\"": \""1820 W. Granville Ave. Chicago IL 60660\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60660\""}""}",PG-13,2014-08-26,Y,60660,Emmerson Park
The Hunger Games: Catching Fire,"{""latitude"": ""41.73011017"", ""longitude"": ""-87.61437988"", ""human_address"": ""{\""address\"": \""501 E. 90th Pl. Chicago IL 60619\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60619\""}""}",PG-13,2014-07-20,Y,60619,Tuley Park
The Lego Movie,"{""latitude"": ""41.70744705"", ""longitude"": ""-87.66044617"", ""human_address"": ""{\""address\"": \""1518 W. 102nd Pl. Chicago IL 60643\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60643\""}""}",PG,2014-08-14,Y,60643,Graver Park
Despicable Me 2,"{""latitude"": ""41.74013519"", ""longitude"": ""-87.61564636"", ""human_address"": ""{\""address\"": \""361 E. 85th St. Chicago IL 60619\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60619\""}""}",PG,2014-07-07,Y,60619,Nat King Cole Park
42,"{""latitude"": ""41.70248795"", ""longitude"": ""-87.64756012"", ""human_address"": ""{\""address\"": \""10540 S. Morgan St. Chicago IL 60643\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60643\""}""}",PG-13,2014-07-17,Y,60643,Jackie Robinson Park
42,"{""latitude"": ""41.7440567"", ""longitude"": ""-87.59574127"", ""human_address"": ""{\""address\"": \""1215 E 83rd St Chicago, IL 60619\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60619\""}""}",PG-13,2014-07-25,Y,60619,Avalon Park
Gravity,"{""latitude"": ""42.01504517"", ""longitude"": ""-87.69725037"", ""human_address"": ""{\""address\"": \""7345 N. Washtenaw Ave. Chicago IL 60645\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60645\""}""}",PG-13,2014-06-25,Y,60645,Rogers Park
Ghostbusters,"{""latitude"": ""41.87962341"", ""longitude"": ""-87.64317322"", ""human_address"": ""{\""address\"": \""610-30 W. Adams St. Chicago IL 60606\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60606\""}""}",PG,2014-08-05,Y,60606,Heritage Green Park
True Grit,"{""latitude"": ""41.928495"", ""longitude"": ""-87.636008"", ""human_address"": ""{\""address\"": \""2045 N Lincoln Park West Chicago IL 60614\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60614\""}""}",NR,2014-08-11,Y,60614,Lincoln Park
The Amazing Spider-Man,"{""latitude"": ""41.78759766"", ""longitude"": ""-87.6692276"", ""human_address"": ""{\""address\"": \""5839 S. Wood St. Chicago IL 60636\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60636\""}""}",PG-13,2014-07-08,Y,60636,Hermitage Park
Man of Steel,"{""latitude"": ""41.65910339"", ""longitude"": ""-87.61064911"", ""human_address"": ""{\""address\"": \""13000 S. Eberhart Ave. Chicago IL 60627\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60627\""}""}",PG-13,2014-08-22,Y,60627,Golden Gate Park
The Croods,"{""latitude"": ""41.86395645"", ""longitude"": ""-87.62201691"", ""human_address"": ""{\""address\"": \""1401 S Indiana Ave Chicago, IL 60605\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60605\""}""}",PG,2014-07-29,Y,60605,Daniel Webster Park
@home,"{""latitude"": ""41.99475861"", ""longitude"": ""-87.65554047"", ""human_address"": ""{\""address\"": \""6205 N Sheridan Rd Chicago, IL 60660\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60660\""}""}",NR,2014-06-03,N,60660,Berger Park Cultural Center
Beasts of the Southern Wild,"{""latitude"": ""41.97158432"", ""longitude"": ""-87.65485382"", ""human_address"": ""{\""address\"": \""4901 N Sheridan Rd Chicago, IL 60640\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60640\""}""}",PG-13,2014-06-24,Y,60640,Buttercup Playlot Park
The Nut Job,"{""latitude"": ""42.00889969"", ""longitude"": ""-87.67923737"", ""human_address"": ""{\""address\"": \""1932 W. Lunt Ave. Chicago IL 60626\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60626\""}""}",PG,2014-08-19,Y,60626,Paschen Park
Claudine,"{""latitude"": ""41.76674652"", ""longitude"": ""-87.56651306"", ""human_address"": ""{\""address\"": \""7059 S. South Shore Dr. Chicago IL 60649\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60649\""}""}",PG,2014-08-13,Y,60649,South Shore Cultural Center
@home,"{""latitude"": ""41.67062378"", ""longitude"": ""-87.63065338"", ""human_address"": ""{\""address\"": \""401 W. 123rd St. Chicago IL 60628\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60628\""}""}",NR,2014-06-02,N,60628,West Pullman Park
Life of Pi,"{""latitude"": ""41.67062378"", ""longitude"": ""-87.63065338"", ""human_address"": ""{\""address\"": \""401 W. 123rd St. Chicago IL 60628\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60628\""}""}",PG,2014-07-06,Y,60628,West Pullman Park
The Help,"{""latitude"": ""41.88805771"", ""longitude"": ""-87.76578522"", ""human_address"": ""{\""address\"": \""5610 W Lake St Chicago, IL 60644\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60644\""}""}",PG-13,2014-07-27,Y,60644,Austin Town Hall Park
Cloudy with a Chance of Meatballs 2,"{""latitude"": ""41.97549438"", ""longitude"": ""-87.73486328"", ""human_address"": ""{\""address\"": \""4222 W. Foster Ave. Chicago IL 60630\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60630\""}""}",PG,2014-07-08,Y,60630,Gompers Park
Michael Jackson's This is It,"{""latitude"": ""41.87285233"", ""longitude"": ""-87.76467896"", ""human_address"": ""{\""address\"": \""500 S. Central Ave. Chicago, IL 60644\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60644\""}""}",PG,2014-06-27,Y,60644,Columbus Park
Gypsy,"{""latitude"": ""41.98543743"", ""longitude"": ""-87.65284538"", ""human_address"": ""{\""address\"": \""5800 N. Lake Shore Drive, Chicago, IL 60660\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60660\""}""}",NR,2014-06-27,N,60660,Kathy Osterman Beach
42,"{""latitude"": ""41.72631836"", ""longitude"": ""-87.63435364"", ""human_address"": ""{\""address\"": \""9247 S. Eggleston Ave. Chicago IL 60620\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60620\""}""}",PG-13,2014-06-18,Y,60620,Robichaux Park
The Goonies,"{""latitude"": ""41.89619446"", ""longitude"": ""-87.66043091"", ""human_address"": ""{\""address\"": \""1330 W. Chicago Ave. Chicago IL 60642\"", \""city\"": \""Chicago\"", \""state\"": \""IL\"", \""zip\"": \""60642\""}""}",PG,2014-08-10,Y,60642,Eckhart Park
