Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Fireproof ,"Beverly Park, Cleveland, Cuyahoga County, Ohio, 44119, United States",PG,2014,2014-07-16,Y,60655,Beverly Park
The Goonies,"Holstein Park, 2200, Bucktown, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",PG,2014,2014-08-28,Y,60647,Holstein Park
Despicable Me 2,"Dvorak Park, 1119, Pilsen, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",PG,2014,2014-06-20,Y,60608,Dvorak Park
Cloudy With a Chance of Meatballs 2,"Willye B. White Park, 1610, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",PG,2014,2014-08-27,Y,60626,White (Willye B.) Park
Despicable Me 2,"Stanton Park, 226, Ward 6, Washington, District of Columbia, 20002, United States",PG,2014,2014-08-15,Y,60610,Stanton Park
@home,"Austin Town Hall Park, 5610, Austin, Chicago, West Chicago Township, Cook County, Illinois, 60644, United States",NR,2014,2014-05-29,N,60644,Austin Town Hall Park
Despicable Me 2,"Cragin Park, 2611, Beat 2514, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",PG,2014,2014-08-01,Y,60639,Cragin Park
The Nut Job,"Lawler Park, 5210, Clearing, Chicago, Lake Township, Cook County, Illinois, 60638, United States",PG,2014,2014-08-12,Y,60638,Lawler Park
The Hunger Games: Catching Fire,"Galewood Park, 5729, Beat 2531, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",PG-13,2014,2014-07-25,Y,60639,Galewood Park
Patang,"Revere Park, Carney, Baltimore County, Maryland, 21234, United States",NR,2014,2014-06-22,N,60618,Revere Park
@home,"Piotrowski Park, 4247, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",NR,2014,2014-06-04,N,60623,Piotrowski Park
High Anxiety,"Grant Park, Kankakee County, Illinois, United States",PG,2014,2014-06-23,N,60602,Grant Park
Cloudy with a Chance of Meatballs 2,"West Lawn Park, 4233, West Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2014,2014-06-26,Y,60629,West Lawn Park
